away_goals,opponent,home_goals,home_or_away,opponent_goals,hungary_goals,outcome,date,match_type
2,Denmark,2,H,2,2,D,2014-05-22,Friendly
2,Finland,1,H,2,1,L,2014-03-05,Friendly
1,Norway,2,H,1,2,W,2015-11-15,Qualifier
1,Norway,0,A,0,1,W,2015-11-12,Qualifier
3,Greece,4,A,4,3,L,2015-10-11,Qualifier
1,Faroe Islands,2,H,1,2,W,2015-10-08,Qualifier
1,Northern Ireland,1,A,1,1,D,2015-09-07,Qualifier
0,Romania,0,H,0,0,D,2015-09-04,Qualifier
1,Finland,0,A,0,1,W,2015-06-13,Qualifier
0,Lithuania,4,H,0,4,W,2015-06-05,Friendly
0,Greece,0,H,0,0,D,2015-03-29,Qualifier
2,Sweden,0,H,2,0,L,2016-11-15,Friendly
0,Andorra,4,H,0,4,W,2016-11-13,Qualifier
2,Latvia,0,A,0,2,W,2016-10-10,Qualifier
3,Switzerland,2,H,3,2,L,2016-10-07,Qualifier
0,Faroe Islands,0,A,0,0,D,2016-09-06,Qualifier
4,Belgium,0,H,4,0,L,2016-06-26,European Championship
3,Portugal,3,H,3,3,D,2016-06-22,European Championship
1,Iceland,1,A,1,1,D,2016-06-18,European Championship
2,Austria,0,A,0,2,W,2016-06-14,European Championship
0,Germany,2,A,2,0,L,2016-06-04,Friendly
0,Cote d'Ivoire,0,H,0,0,D,2016-05-20,Friendly
1,Croatia,1,H,1,1,D,2016-03-26,Friendly
